,urlDrugName,rating,effectiveness,sideEffects,condition,benefitsReview,sideEffectsReview,commentsReview
3686,effexor-xr,7,Considerably Effective,Mild Side Effects,depression,"Worked very fast, could feel results within a week. Very effective in lifting severe depression and reduced frequency of panick attacks (though did not eliminate them entirely)","Some insomnia, very vivid dreams, sweating at night. DO NOT MISS DOSES OR STOP TAKING...discontinuation happens really quickly and is the harshest I've ever felt (I've come off of Lexapro, amitriptyline and nortriptyline) Also my heartrate has increased slightly.",Went up to 300mg a day from the starters pack within a few months of starting it.  Lifted a very deep depression; at the time it was a godsend. After a year of being on it at 300mg it is starting to lose effectiveness (which I am told is typical) so I will either have to switch or add something because I can't increase much more.
1274,provigil,10,Highly Effective,No Side Effects,narcolepsy,"After being diagnosed with narcolepsy, Provigil changed my life.  I had learned to live eternally tired and able to fall asleep at a moment's notice.  After a sleep study revealed narcolepsy and I started on Provigil, I feel as if I've been given a second chance at life.  Provigil helps me to stay awake and be alert....I no longer feel fatigued and always wanting to sleep.  Provigil is an amazing drug and thank God it's available!!!!",none,"400 mg every morning, 200 mg early afternoon."
1629,premarin,9,Highly Effective,Mild Side Effects,partial hysterectomy,"Had to have a partial hysterectomy due to endometreosis.  After the surgery began experiencing hot flashes on a very frequent basis - approximately 1-2 times per hour.  My gynecologist prescribed Premarin .030mg.  Since then I have moved up to the .045 mg dosage which I take once a day.  For the most part, this relieves my symptoms even though I wake up at night on occasion with a night sweat.",periodic headaches,take once daily for relief of menopause symptoms
3531,lunesta,7,Moderately Effective,Mild Side Effects,insomnia,"I started having insomnia due to some family issues and had to start taking sleeping pills. With the help of Lunesta I could usually get up to 5 hours of sleep at night on most nights, but then suddenly it stopped working. I could not fall asleep and had to switch to Ambien CR.","Bitter taste in the mouth next morning. Bitter taste in the mouth next morning.

Bitter taste in the mouth next morning. Bitter taste in the mouth next morning.

Bitter taste in the mouth next morning. Bitter taste in the mouth next morning.

Bitter taste in the mouth next morning. Bitter taste in the mouth next morning.","It worked for several nights, then suddenly stopped working: I could not fall asleep and had to switch to Ambien CR.

It worked for several nights, then suddenly stopped working: I could not fall asleep and had to switch to Ambien CR. It worked for several nights, then suddenly stopped working: I could not fall asleep and had to switch to Ambien CR.

It worked for several nights, then suddenly stopped working: I could not fall asleep and had to switch to Ambien CR. It worked for several nights, then suddenly stopped working: I could not fall asleep and had to switch to Ambien CR."
3918,nexium,10,Highly Effective,No Side Effects,hiatal hernia,Control of high blood pressure.  Taken in addition to Cartia XT once daily to control high blood pressure.  The hydrochlorothiazide (HCT) increases the amount of urine removing salt and excess water to help lower high blood pressure.,"Dizziness, lightheadedness, and blurred vision.",For Atacand HCT take one pill by mouth every morning.  For Cartia XT take one capsule by mouth every evening.
4087,mobic,6,Highly Effective,Severe Side Effects,whiplash/ back and neck pain from auto accident,My treatment benefits: My pain went away while taking Mobic. My anxiety went away. My mood was lifted.,The first day I didn't take Mobic(Day 5) I experienced withdrawal like symptoms. Didn't want to get out of bed after eight hours of undisturbed sleep. Severe stomach cramping followed by diarrhea. I feel really strange. I can't focus. My pain is back. Face feels tingly. I have a shaky feeling. Nauseous. As the day progresses I am feeling less of these symptoms. I don't think it's worth all this.,Physical therapy twice a week. Doctor every two weeks. Suppose to take 1-2 Mobic everyday for pain. 1-3 Flexiril a day to relax tense muscles. I take Flexiril at night because it knocks me out. But have only needed it the first two days of treatment.
3937,nexium,7,Highly Effective,No Side Effects,stomach acid/reflux,"The nexium was highly successful in calming the stomach acid. However, it took a long time to do so effectively. I only stopped taking it after a year.",None.,I was advised to take the drug in the evenings and it was easy to incorporate the drug into my daily regimea
3384,baclofen,8,Considerably Effective,Mild Side Effects,multiple sclerosis,"i could sleep at night. my ms caused tightness everywhere, so i had alot of sleepless nights. lack of sleep made everything worse w/ my ms","a little tired in the am ,but nothing horrible",10 mg at nite b4 bed
1083,effexor,9,Highly Effective,No Side Effects,migraine,"I suffered from debilitating migraines.  The first treatments of anti-depressants were effective, but the side effects became intolerable.  After 

trying other types of medications, Effexor (both XR and regular release) have been a blessing. I suffer no side effects and in the laast 5 years have only had to increase the dosage one time.","Previous medications (Nortrytpaline, amatryptaline) had a major sedative reaction.  I was unable to get up in the mornings and was sleepy all day long.

Also a dry mouth contributed to tooth decay as I was always having some sort of 

mint or candy or gum in my mouth.","My Effexor treatments as simple, just take the drug once a day on the extended release type."
3397,proscar,7,Moderately Effective,Mild Side Effects,hair loss,"Immediate slowing of loss, but the benefits waned after the first year.","Mild testicular ache, reduced ejaculate","Proscar was cut into 4 pieces and 1.25 mg were taken daily for over 2 years. There was immediate cessation of loss and moderate amounts of regrowth. Return to baseline, and then drastic fall below baseline, was observed in the year subsequent to drug initiation."
2016,triaz,10,Highly Effective,Mild Side Effects,acne,"My spots were reduced dramacially, skin cleared up and felt better. my confidence improved. i would recommend this product to other people.",very slight dry skin in the areas I used the gel the most.,"I had to apply gel each night and keep it on whilst asleep, I would wash off in the morning and use other products as normal."
1253,tapazole,10,Highly Effective,No Side Effects,hyperthyroidism,My hyperthyroidism is in remission 9 months after stopping the drug.  I had no side effects and even my thyroid nodules are gone.  Pretty amazing!!,None - I felt no different at all,I took the tapazole daily along with atenolol for the shaking and heart racing I was experiencing.  I am completely drug free for 9 months and the thyroid is fine.  I am so glad I didn't let the doctors irradiate the gland to ablate it.  I would have had to be on synthoid forever.
3687,effexor-xr,7,Highly Effective,Moderate Side Effects,"depression, social anxiety disorder","After a few months of treatment, I was actually able to function and get my social anxiety under control. My emotions became intact, and I enjoyed doing things again.","Missing a dose of this medication is HORRIBLE. I start feeling withdrawal symptoms after 24 hours of not taking my medication. I once went 3 days without the 75mg pills, and I thought I was going to die. I was in a constant spin, I cried the whole time, I was exhausted, but I couldn't lay still. I was so nauseous that I couldn't eat and dry heaved for days. I literally thought I was going to die. DO NOT MISS A DOSE OF THIS MEDICATION!! In the beginning of treatment, I started out with 37.5mg pills and I did feel nauseous and dizzy for the first few days until my body adjusted, but it was nothing compared to how I would be feeling in 2 weeks! I do think this medication completely killed my sex drive. I don't have the urge to be intimate at all.","I must say, I got extremely lucky with this medication. It was the first one I tried, and the only one I had to try. I was 19 when I starting taking this medication and was just starting my first year of college. I lived in an apartment with my boyfriend and attended school, no job. But that's all I did. Never made it out of the apartment, never went out, I lived in a huge city, made no friends, just an absolute mess. My emotions were a wreck and I felt absolutely helpless. I cried alll the time and I started having panic attacks out of nowhere, which I had absolutely NO idea what was going on. I just dealt with them in horror. I drank and did drugs, but it only made things worse. My doctor prescribed this drug and it did absolute wonders, within a week, I was starting to feel the weight being lifted off my shoulders. Within 3 weeks, I was able to drive in traffic, and open my blinds to let the sun in. Within 2 months, I was back to normal! I have the occasional off days, but who doesn't? The thought of possibly being dependent on this medication scares me because of how hard it's said to be weaned off of it, but I'm too scared to even TRY coming off effexor because of the withdrawal symptoms I experienced before. Overall, this medication is amazing, and does wonders."
1578,xanax,9,Highly Effective,Mild Side Effects,anxiety,I was experiencing anxiety and would take a quarter of a pill to take the edge off.  Within 20-30 minutes the anxiety would decrease a lot.  Mostly I wouldn't even have a full pill in a day.,"If I took the recommended dose (half to a full pill) I would get very tired.  Once I tested different dosages and decreased it to a quarter, I cannot remember any side effects.","The way it was prescribed I was to take up to one pill and I could take it every 4 hours.  That dosage was way to high for me so I decreased it to a quarter of a pill and only took it when I had extreme anxiety.  One bottle of 30 lasted me two years.  I almost never go to the doctor and I never really take drugs unless it is absolutely necessary.  I wanted to do your survey so I could get the free report on making home creams, but I also really like what you are doing!"
2187,clonazepam,9,Highly Effective,Mild Side Effects,anxiety/ panic attacks/ insomnia,"The drug was taken for my daily anxiety caused by stress and also insomnia to help relax my body before bed. The drug is mainly intended for anxiety and works great at relieving those systems such as irregular heart beat, nervousness and other anxiety causing symptoms. I give it a 9 out of 10 for its performance.","The only thing i didnt like about this drug is that with taking it overtime I felt as if my body built tolerance to the drug as well as became more dependent on it. I still am until this day and have managed to ween off the drug. Then again every ones body is different, Just do your research before taking benzodiazepines long term.",The treatment overall treated my anxiety quickly and effectively. No regrets. The drug overall has treated me effectively despite the minor drawbacks.
4061,amoxil,10,Highly Effective,No Side Effects,sore throat with a low grade fever,"My son is generally very leary of any type of medicine and even throws up certain cough syrups and acetaminophens that I would give him.  I had two concerns for this oral medication.  First, I was skeptical that this prescription for amoxicillin would be any different in terms of taste and that my son would also throw it up.  Also, being that my son is a diabetic coupled with the fact that he was sick, I was concerned that this medication might have sugars that would affect his blood sugar readings.  I found no real difference in his health for the first two to three days but in the days following, his health improved dramatically to the point where we almost forgot to take it.  Understanding that the antibiotic needed to be taken for the full ten days in order to be the most effective, we continued to take it to the end of the ten days.",My son did not notice/experience any side effects.  There did not seem to be any physical reaction with the drug except that he became better within days.,I gave my son a teaspoon of amoxicillin after each of three meals per day for ten days in total.
1388,benzaclin,8,Considerably Effective,Mild Side Effects,acne,This has helped reduce my cystic acne that forms on my chin area. Nothing has helped previously.I had tried OTC products including Proactiv as well as RX differin. The cysts still occur occasionally but with far less frequency.,dryness,Applied daily in the evening. At first sign of a cyst forming I usually apply it twice daily.
1,nasonex,7,Considerably Effective,Moderate Side Effects,congested sinuses,"Traeatment with Nasonex was effective at controlling some of my congestion before sinus surgery and all of it after surgery.  The treatment also controlled my allergies to cats and dogs as a bonus!  I stayed 4 days at a freinds house with a dog and was without sneezing and stuffiness, however my asthma was still an issue.",Immediate side effects that I noticed were with my immune system.  I got sick (colds and upper respiratory infections) more easily and I had one bug bite that became infected and took a long time to heal.  I also noticed that I put on a few pounds (2-3) but am not sure if that is related or not.,"Began treatment with spray before sinus surgery and continued after surgery.  6 months after surgery, the spray was stopped."
2218,benicar-hct,1,Moderately Effective,Severe Side Effects,hypertension,"Blood pressure was decreased initially to where it should have been, and gradually stopped being so effective","Severe rectal pain, beginning around 4 weeks into the treatment. At first there was burning, after bowel movements, then increased to severe burning all the time, then to pain, and finally severe pain (could not sit or lay down). No hemorrhoids, tears, or fisures, but the pain continued, even if no bowel movements for days. Finally stopped taking the medication at the end of August 2009, but the symptoms continue even now (Feb 2010), although not nearly as bad. Now the pain just makes me sit sideways, but at least I can sit and lay down to sleep.","I had never been diagnosed with high blood pressure, but had recently gained several pounds because of the double round of steroids I was put on because of a severe skin rash (seasonal allergic reaction). Since we had recently moved I didn't have a PCP yet and the rash on my arms looked like it may have been getting infected, I went to a local emergent care center and saw a doctor there. They took my blood pressure and immediately put me on Benicar HCT, 20 mg, once a day. I took the medication as prescribed until the anal pain got to be too bad. Since going off the medication my BP is a little elevated but I'm reluctant to go back on any meds, especially no one seems to be willing to admit the Benicar caused this problem or is offering any solutions to help it get better."
3206,arava,1,Ineffective,Severe Side Effects,ra and ankylizing spondolitis,"diclofinac has helped with the pain and swelling of joints.Lefluonomide, for me, had no noticible benefits.","Nausea, weakness leg and feet cranps shortness of breath rapid heart rate. After a short time I discontinued the medicine, symptoms held on for three more days, Still not feeling well but there has been mild improvement",see side effects
2620,trileptal,7,Moderately Effective,Moderate Side Effects,tri geminal neuralgia,"Stop pain of nerve spasms, without the drug, the tri geminal neuralgia pain is considered one of the most painful of all medical conditions.  With this medicine the patient has been able to avoid the risks of neuro surgury and still control the pain.",Headaches occasionally.,Took 150 mg or 1 tablet 2 times a day
302,pataday,9,Highly Effective,No Side Effects,allergic reaction,taking the eye drops once a day relieved itching and redness.  there were no side effects.  the treatment stopped my eyes from itching and being red.  it did not seem to have any other side effects.  there is really nothing else to say about it.,there were no side effects,"once a day, usually in the morning put 1-2 drops in each eye"
504,paxil-cr,5,Moderately Effective,Severe Side Effects,anxiety/panic attacks,Controls the anxiety and fear of being without breathing.,"GAIN WEIGHT (60 pnds) fron 125 lbs to 180 lbs (5'4""). Lazyness, sugar and candy cravings, depression form gain weight, sleep a lot, no concordance, No sex, confussion, nightmares, moody, constinspation at the begginng, face breakouts, intolerance, short of breath, headeach..among others.","Begginng dose: 25 mg for 1.5 yr.(may 08 to dec 09).



Dec 09: want 2 have bbs..so I talked 2 my Doc and I start with 12.5 this week (dec 7, 09). To end the process.



If I can turn back time..OMG..I used alternative treatments..no drugs.."
1014,estrace,7,Considerably Effective,Moderate Side Effects,surgical menopause,reduction in mood swings;night sweats;wt. gain,gallbladder disease;reflux,This medication was working well until it changed from round tablet to oblong tablet.  Now need to take higher dose for similar effect.  Has not worked as well since name brand was sold to different company and shape change.  I wonder if there are women having same problem.  Had surgical menopause for 19 years.
224,wellbutrin-xl,10,Highly Effective,No Side Effects,chronic depression,"Significant improvement in mood, affect, energy, libido, and overall mental status. Significant reduction in anxiety, moodiness, and certain obsessive compulsive traits.",None,Patient suffering from severe depression prior to medication. Had taken Wellbutrin SR in the past with moderate side effects and moderate improvement in depression. Attending psychiatrist prescribed Wellbutrin XL at a higher dose in conjunction with Dexedrine for ADD. Marked improvement in depression and ADD symptoms. Patient still taking medication.
1805,oxycontin,3,Considerably Effective,Extremely Severe Side Effects,back pain,It provided me Pain releif that enabled me to get up in the morning and pain releif that helped with cramps and pain while sleeping at night. I think it only blocked the pain receptor in my brain but didn't actually provide a cure for the main problem. It was like a mask that may have caused more damagae in the end,I became severely addicted to the drug. With flu like symptoms when out of meds. I became dependant on the meds everyday to function and because it was working for enabling me to go about my day I didn't look for a proper treatment. In the end I wouldn't say that these pain medication do anything but mask the initial problem and my Dr considered the problem solved and didn't seek an alternate method of helping me long term,Take one pill 2 times a day
381,lamotrigine,10,Highly Effective,No Side Effects,ptsd,I have never felt so good in my life. This drug doesn't make you happy but it gives you a stable state to work from. I also read self-help books and have therapy along with the medicine but I wouldn't have been able to not have extreme highs and lows without Lamotrigine. It saved my relationships and my sanity. Thank God for this medicine.,Yeast infections occasionally.,"In therapy weekly and using ""Feeling Good"" and ""Break the Chain of Low Self-Esteem""."
3540,vivelle-dot,10,Highly Effective,No Side Effects,low estragen,"I had more energy, better disposition and I slept better. This hormone therapy is great. I think most menopausal women should take it. It made me feel more like my old self.",I had absolutely no side effects.,I put on a new patch twice a week. I recommend Vivelle Dot to most women.
942,levaquin,1,Ineffective,Severe Side Effects,sinusitis,"Although I took this drug about 3 to 4 days before I realized it was making me sicker, there were no treatment benefits during the time I was on it.  Actually , I started feel worse about day 3 or 4.  The drug seemed to be enhancing the sinusitus symptoms!","The treatment side effects of Levaquin were very similar to my sinusitis symptoms, hence the fact I stayed on the drug for several days.  Side effects included headache, dizziness, lightheadedness and nausea (nausea is not a symptom of sinusitus that I ever experienced before).  The side effects slowly got worse the longer I took the drug.","I asked for the drug in liquid form, as I have difficulty swallowing many pills.  I took the drug as recommended, but the symptoms did not get better.  As I mentioned earlier, the symptoms got worse.  I called my doctor's office on the third day and was told that the symptoms I was experiencing was the infection.  By day 5 I knew it was the drug, and stopped taking it.  After a couple of days the nausea went away, and eventually the sinusitus infection slowly got better.  I will never take Levaquin again!"
623,finacea,8,Considerably Effective,No Side Effects,acne & rosacea,"Finacea works well, is my everyday solution to acne and rosacea, but I still have occasional breakouts which are more quickly dried up by using Neutragena salicylic acid spot products.  Finacea has a creamier texture, so doesn't dry my skin as much as other products or irritate it, causing redness.  I still require a light moisurizer, in addition to it and the CeraVe moisturizing product that has been packaged with Finacea in a recent promotion works well with it.",None,"I apply it over my entire face (except for eye areas)after washing and toning, but before moisturizing or applying wrinkle reduction cream."
3673,effexor-xr,8,Considerably Effective,Mild Side Effects,depression,"I have been on Effexor XR for about 10 years. I am currently taking 300 mg per day. Before going on Effexor XR I was a crazy person...I tried to commit suicide several times. I still had anger issues and was given Lamictal and my anger has decreased immensely. I had been on so many different antidepressants I thought this was how my life was always going to be, my family slowly watching me sleep myself to death. Since my doctor put me on Effexor XR added Lamictal & Desyrel I feel better than ever. I also found out I'm allergic to wheat, dairy & eggs. Deleting these items from my diet along with the medications has made me a new person.","The only adverse effect I experienced was when I tried to play doctor and wean myself from the meds. It was like withdrawals from hard drugs; chills, nausea, etc. I took periodically myself off my meds because I didn't want to be dependant on medicaton. It was always the wrong thing to do.",My Dr gave me a sample pack (containing 7-37.5 mg capsules & 7-75mg capsules) as well as a  prescription for 75 mg. I was to take the 37.5 mg capsules then the 75 mg capsules. The dosage has been increased over time to 300mg.
1227,ultracet,9,Highly Effective,Mild Side Effects,chronic pain from disk hernia in cervical spine,enabled me to manage pain without being on narcotics. I did not experience a spacey out of touch feeling as I did when taking vicodin. It did make me a bit sleepy for the first couple of hours after dosing,mild sleepyness,on drug to control pain prior to surgical correction of a herniated cervical disk and for post op pain
3578,differin,7,Considerably Effective,Mild Side Effects,acne,"I have had acne since the age of fifteen (15).  I tried several treatments, but the one that has shown improvement to my skin has been Differin.  With Differin, there has been a reduction of blemishes, my skin feels and looks smoother, and  the hyperpigmention of my skin has lightened significantly.","Side effects included dryness and irritation of the skin, which were both in part, very mild.",apply a thin layer every night to clean skin.
3450,tamiflu,5,Moderately Effective,Moderate Side Effects,the flu,I felt better in about 2 days. Maybe I would of felt better with out the drug. Not quite sure if it really helped.,"The side effects were the drug made me not able to sleep at night. It gave me restless legs,and insomnia. It also took away my apitete.",The treatment was to take 1 tablet orally 2 times a day for 5 days.
689,accutane,10,Highly Effective,Moderate Side Effects,acne vulgaris,"The problem, Acne Vulgaris, did disappear","Some days of severe depression, extremely dry skin","In the first few weeks I couldn�t see any changes in my skin�s condition but dryness. Then, after ca. 6-8 weeks the skin became more and more clean and soft. The treatment lasted about 4 month and was highly effective. No Acne after stopping to take the Accutane.

The skin would remain drier than usual several years after the treatment had been finished and it would be clean.

I can recommend it to people who have severe Acne vulgaris."
70,flexeril,8,Considerably Effective,Moderate Side Effects,muscle spasm/neck and upper back pain,It allowed me to relax and sleep.  My neck and back pain subsided a little.  It made me forget most of my pain.,drowsy when i first woke up but once i got moving around it went away,The doctor had me take flexeril 3 times a day but i started out with 1 at bedtime for 2 1/2 weeks.  It took 2 weeks to work but after i started taking it 3 times a day at it worked faster.  It helps to stretch also while you take flexeril.
1785,citalopram,8,Highly Effective,Mild Side Effects,"depression, anxiety","After about 2 weeks, felt much calmer and less depressed. Stressful situations or emotional distress were experienced less acutely and I was able to deal with them much better. Overall feeling of 'who cares' but not to a bad extent.  Also lost about 20 pounds which may be due to it acting as an appetite suppressant? Or maybe because it stopped my stress eating. Either way, nice side effect :)",Loss of weight- appetite suppression. Complete loss of sexual interest. Kind of a bummer but preferable to the depression. Also experienced an episode of intense confusion around the time it was supposed to be kicking in.,"Works great... Very happy with it, as alprazolam seems to have no effect on me."
568,atenolol,9,Considerably Effective,Mild Side Effects,heart racing and fluttering,this drug works very well to control my heart from racing and fluttering. i have had a echo cardiogram and they say it is nothing serious but it really bothers me and makes me shaky and queasy. it was nice to get relief from this drug.,when i first took it it seemed to make me depressed but after a while that seemed to go away. other than that i have had no side effects.,the doctor prescribed the drug and i take 1/2 tablet a day which would be 25 mg.
2161,zyrtec,5,Highly Effective,Severe Side Effects,allergies,"After moving to Okalahoma, allergies became a problem.  Different medicines prescribed and over the counter were tried.  At one point, I had to visit the doctor every six months two get a B12 shot and a steroid shot.  I was not pleased with the such frequent visits to the doctor's office but needed a treat for my new found allergies that were really affecting my work and family life.","A rash on my face occurred after two days and the medicine made very anxious. After moving to Okalahoma, allergies became a problem.  Different medicines prescribed and over the counter were tried.  At one point, I had to visit the doctor every six months two get a B12 shot and a steroid shot.  I was not pleased with the such frequent visits to the doctor's office but needed a treat for my new found allergies that were really affecting my work and family life. Both my 4 year old son and I tried Zyrtec.  We both had an allergic reaction in the form of a rash on our face.","Allergies are very common in Oklahoma because of the ragweed. Different medicines prescribed and over the counter were tried.  At one point, I had to visit the doctor every six months two get a B12 shot and a steroid shot.  I was not pleased with the such frequent visits to the doctor's office but needed a treat for my new found allergies that were really affecting my work and family life. I began taking 1 tsp onf Zyrtec once per day.  The drug proved to work."
85,methimazole,5,Highly Effective,Severe Side Effects,hyperthyroidism,"Stabilizes my thyroid function and brings it into a ""normal"" range.

Consequently my heart rate normalizes","Early in treatment Drs. would give me a specific dose to take for as long as 6 weeks. During this amount of time, on say..30-20 mgs per day, my thyroid would become so enlarged, I could barely swallow.. I now have a better handle on it.. and monitor my self with either breaking pills or smaller doses which I can control.

ALSO--I now have Osteopenia.","First need to say Drs. waned me to have thyroid ablation. I opted to ""keep"" my thyroid and treat with mediycation, rather than ""killing it off"" chemically and becoming HYPO-Thyroid and treating with a replacement ""synthroid"" type meds.



Early in treatment Drs. would give me a certain dose to take for as much as 6 weeks-long after reaching ""normal"" (tsh etc..)thyroid levels, Now I monitor myself by how I feel and usually I'm not accurate, but most of the time I am.



ALSO I now have Osteopenia-exercise and calcium and Vit D are all very important!"
4094,chantix,2,Considerably Effective,Extremely Severe Side Effects,smoking cessation,"Reduced desire to smoke

Reduced cravings for cigarettes",Suicidal thoughts (calm idea of jumping off 14th floor),Treatment was immediately stopped after suicidal episode and this effect was reported to the drug administration by the pharamcist. I gave up smoking without the product.
3869,levoxyl,10,Highly Effective,No Side Effects,under active thyroid,"I had tons more energy, better sleep, my brittle hair and dry skin improved ,cold hands and feet were a thing of the past ,but the best part was the fact that my  

horse voice and persistent sore throat got better,also a feeling of well being which I didn't have before taking them , I felt I had control of my life again.","there were absolutly no side affects , I didn't have a dry mouth as I know some other medication can cause , no upset stomach , sickness ,or dizzyness.","1 pill every morning taken with water on an empty stomach, I didn't eat for about half hour after taking the medication , also I made sure I didn't drink it with grapefruit juice ,"
2072,metformin,3,Marginally Effective,No Side Effects,diabetes,There was no perceptible benefit to the patient from his point of view; there was an apparent improvement as measured by the doctor.  The doctor advised continuation of the treatment.,There was no perceptible side effect experienced by the patient; this is possibly possibly due to the inattentive nature of the patients deep depression.  The patient also had extreme sleep apnea.,Started the treatment for 60 days at maximum recommended rate; the patient found no perceptible improvement he then trailed off to stop treatment over the following 60 days.
3680,effexor-xr,7,Considerably Effective,Severe Side Effects,depression,"Felt the ""cloud lift"" after 6 days or so.

Feel free from depression for the first time in 10 years.

But, glad to be rid of it.","Horrible for me. Acquired secondary insomnia (for the entire duration), at one point, didn't sleep for 5 days.

Had a very intense feeling of delayed reactions/delayed feelings. ie. would go to turn the music up in the car and would turn the dial the wrong way. Took a few seconds to feel what I was actually touching, grabbing.

Killed my sex drive.

Withdrawl is EXTREME. Constant crying, very vivid and disturbing dreams, general listlessness.","Taken once a day (until up to 150 mg/day and then taken twice a day).  Always in the morning, as would help with insomnia."
117,valtrex,10,Highly Effective,No Side Effects,shingles,"Prior to starting 1000 mg acyclovir QID, I was taking the standard 200 mg 5 times a day regimin.  I devloped the shingles in the 5th cranial nerve.  I had lesions following the entire nerve roots across my face, but had them internally as well.  There were lesions in the ear canal, the side of my tongue and down my throat.  I had taken a flu shot and had exposure to sun, as well as starting 2 new jobs about the same time as the first onset.  I developed 1 blister which I thought was herpes. I had not had a herpes outbreak in years. I started the acyclovir and noticed more and different complaints every day.  I first got a lesion on the entrance to the ear canal and more accompanying the first one on my lower chin.  Then my lower teeth began to become painful, as if I had a great toothache.  After about 4 days, I began to feel exhausted and unable to snap out of my fatigue.  The next day I awoke and had a sensation that my mouth was not fully moving.  Later the eye began to remain open and would not blink. The 3rd day of these symtoms, I devloped total paralysis of the left face. I saw 1 of my doctors immediately.  He gave me a cortisone shot and told me the dose of acyclovir to take.  He said it was bell's palsey. A friend called and said it was Ramsay-Hunt.  I was on bedrest from Mid October until 2 weeks ago.  I have very little stamina, and slowly I am getting more energy.  The latest addition to my medication arsenal was Alpha-lipoic acid.  I had statrted lysine and red marine algae.  I stopped coffe, soda, most meat and ate only what little I cooked or made myself.  I am pleased that most of my facial functions have returned, with the exception of the eye bliking completely, and a slight difference in my smile.  I take at least 1 dose of ibuprophen every day due to neuralgia or a sense of swelling in my left face.",I did not notice any.,"acyclovir, rest.  PRN doses of ibuprophen. Tape eye shut and use of moisture drops."
2926,tramadol,5,Moderately Effective,Severe Side Effects,migranes,Very effective in my sleep pattern,Drowsiness which was not a major issue for me. phase of depression each time i stopped taking the pill. I didn't realize what was causing it until after the last couple of times. I mean a serious phase of depression which was new to me since i have never experienced depression before,"I took the pill only when i had a migrane for a period of 3 months. I would be okay before and while i took the pill. The low mood, feelings of unworthiness and a heavy feeling in my head that i can't explain any better"
3383,lipitor,10,Considerably Effective,No Side Effects,high blood cholesterol levels,My blood cholesterol decreased from 260 to 190-210 and my LDLs dropped  and now hover around 100 mg/dl; always had high HDL levels of 84-92.  Needed to keep my VLDLs low too.,No side effects,"high cholesterol, 260, at menopause and 2 younger brothers with heart attacks in early 50s.  Both brothers had high blood VLDLs.  So took Lipitor to keep blood cholesterol levels down because of family history of high blood cholesterol on both maternal and paternal sides of family."
564,atenolol,7,Moderately Effective,No Side Effects,blood pressure,"it did keep my blood pressure lower , and i did feel better.and i felt more at ease driving","I felt a little tired at times,and some dizziness  i ended up taking it at night 

and that seem to help.","if i took it in the mornings with a meal. sometimes ,not all time my blood pressure 

did not lower like it should,so i took it at night, with a bigger meal.that seem to help, because during the day i seem to have a problem but not as often."
3253,cleocin,6,Moderately Effective,Moderate Side Effects,acne,during 20's and 30's it appeared to create a protective skin barrier and keep acne at bay,"suspect that long-term over-use of this anti-biotic is part of the domino effect

that disrupted immune system which set stage for cancer diagnosis at age 40","used to put clindamycin lotion on face every morning after cleansing to create an antibiotic shield to protect skin from contamination that might aggravate acne ... that, plus the birth control pills taken during 20's and 30's likely

aggravated immune system and underlying candidiasis overpopulation which had been

life-long but not diagnosed until age 50 ... anyway, went through chemotherapy at age 40 ... thyroid pooped-out, which required commencement of lifelong thyroid hormone supplementation ... now realize how it is all connected - have gotten off

antibiotics altogether, gone organic in diet and products (toiletries, household

products) and feel good at ten-year-wellness anniversary since cancer diagnosis  :o)"
1753,topamax,8,Moderately Effective,Mild Side Effects,migraine,"The number of migraines were reduced from 20+ a month to 12 or even less.  There have been some months when I have had only 5 or less migraines.  More importantly, the intensity of the migraines is considerably reduced.  On a pain scale of 1-10, I would have 12 or 15+ pain, that no amount of medication helped, and they would last for 3 to 5 days.  Now, when I do get a migraine, it's usually at a 2 or 3 pain level, and I rarely need to take more than 1 Relpax for relief.","One rather odd side effect, which others on the drug have commented upon, is that you forget words.  I've always been very articulate, and it can be frustrating to be in the middle of a conversation, or when I was doing training sessions, to suddenly go blank and be completely unable to remember a word I've used all my life.  Also, at one point I decided to go off the medication in the vain hope I could manage the migraines without drugs.  Even coming off the Topamax over a period of months, I gained 20 pounds.","I started on the usual dosage of 25mg in the morning and evening, then after 2 weeks increased it to 50mg twice a day.  Most people stay at this level, however, I seem to have a very high metablisim when it comes to medication, and anything I've taken for migraines always has to be increased beyond normal dosage in order to work.  Therefore, my neurologist increased the dosage to 200 mg a day, and after about a year when that no longer worked, we went to 300mg a day, which I know is high for used in migraine treatment. However, I've been on almost every migraine medication there is over the years, and there is nothing else that works.  I'm hoping for more breakthroughs in migraine research, before I end up at 400mg a day and forget half my vocabulary!"
2813,wellbutrin,4,Moderately Effective,Moderate Side Effects,depression/anxiety,Decreased depression,felt funny and would get sort of dizzy,"I switched from Zoloft to Wellbutrin because it seemed like Zoloft was increasing my appetite a lot. I originally was treated with Zoloft for a severe episode of depression. After switching to Wellbutrin and taking it for a few months I continued to experience the original relief I had gotten from depression by taking Zoloft. It is possible however that I no longer needed anti-depressants. 

I stopped taking Wellbutrin b/c while taking it, a few times a day I would feel pretty strange physically for a few moments. I found this frightening so I didn't want to continue taking it."
2022,protonix,9,Considerably Effective,No Side Effects,reflux,Benefits of Protonix were a greatly reduced incidence of heartburn and spams in the esophagus.,None,I took the Protonix once a day approxiamtely 30 minutes before eating breakfast.
